C:\Users\bellisd\Documents\gitrepos\cuda-nersc-training-series\hw01\x64\Release>hw01.exe
A[0] = 0.066406, B[0] = 0.520508, C[0] = 0.586914
A[69] = 0.782227, B[69] = 0.205078, C[69] = 0.987305
A[70] = 0.168945, B[70] = 0.891113, C[70] = 1.060059
A[71] = 0.415527, B[71] = 0.770020, C[71] = 1.185547
A[72] = 0.475586, B[72] = 0.606445, C[72] = 1.082031
A[73] = 0.015137, B[73] = 0.436523, C[73] = 0.451660
A[74] = 0.532715, B[74] = 0.129883, C[74] = 0.662598
A[75] = 0.677734, B[75] = 0.923340, C[75] = 1.601074
A[76] = 0.273926, B[76] = 0.630371, C[76] = 0.904297
A[77] = 0.069824, B[77] = 0.288086, C[77] = 0.357910
A[78] = 0.338867, B[78] = 0.874512, C[78] = 1.213379
A[79] = 0.351074, B[79] = 0.794434, C[79] = 1.145508
A[80] = 0.988281, B[80] = 0.262207, C[80] = 1.250488
A[81] = 0.542480, B[81] = 0.601074, C[81] = 1.143555
A[82] = 0.871582, B[82] = 0.581543, C[82] = 1.453125
A[83] = 0.090820, B[83] = 0.232422, C[83] = 0.323242
A[84] = 0.650391, B[84] = 0.048828, C[84] = 0.699219
A[85] = 0.446777, B[85] = 0.472168, C[85] = 0.918945
A[86] = 0.270508, B[86] = 0.955078, C[86] = 1.225586
A[87] = 0.235840, B[87] = 0.450684, C[87] = 0.686523
A[88] = 0.191406, B[88] = 0.805176, C[88] = 0.996582
A[89] = 0.661133, B[89] = 0.180664, C[89] = 0.841797
A[90] = 0.658203, B[90] = 0.561035, C[90] = 1.219238
A[91] = 0.916016, B[91] = 0.487793, C[91] = 1.403809
A[92] = 0.878906, B[92] = 0.728516, C[92] = 1.607422
A[93] = 0.504395, B[93] = 0.138672, C[93] = 0.643066
A[94] = 0.456055, B[94] = 0.738770, C[94] = 1.194824
A[95] = 0.492676, B[95] = 0.854980, C[95] = 1.347656
A[96] = 0.012695, B[96] = 0.385254, C[96] = 0.397949
A[97] = 0.616699, B[97] = 0.836914, C[97] = 1.453613
A[98] = 0.590332, B[98] = 0.466309, C[98] = 1.056641
A[99] = 0.234863, B[99] = 0.266113, C[99] = 0.500977
A[100] = 0.036621, B[100] = 0.762207, C[100] = 0.798828
A[101] = 0.201660, B[101] = 0.670410, C[101] = 0.872070
A[102] = 0.371582, B[102] = 0.170410, C[102] = 0.541992
A[103] = 0.403809, B[103] = 0.008789, C[103] = 0.412598
A[104] = 0.894043, B[104] = 0.880371, C[104] = 1.774414
A[105] = 0.530762, B[105] = 0.246582, C[105] = 0.777344
A[106] = 0.750977, B[106] = 0.648926, C[106] = 1.399902
A[107] = 0.215820, B[107] = 0.967285, C[107] = 1.183105
A[108] = 0.990723, B[108] = 0.606445, C[108] = 1.597168
A[109] = 0.026367, B[109] = 0.002441, C[109] = 0.028809
A[110] = 0.577148, B[110] = 0.110840, C[110] = 0.687988
A[111] = 0.826172, B[111] = 0.656738, C[111] = 1.482910
A[112] = 0.486816, B[112] = 0.933594, C[112] = 1.420410
A[113] = 0.146484, B[113] = 0.880371, C[113] = 1.026855
A[114] = 0.629395, B[114] = 0.606445, C[114] = 1.235840
A[115] = 0.825684, B[115] = 0.983887, C[115] = 1.809570
A[116] = 0.737793, B[116] = 0.902832, C[116] = 1.640625
A[117] = 0.813965, B[117] = 0.176270, C[117] = 0.990234
A[118] = 0.377930, B[118] = 0.019043, C[118] = 0.396973
A[119] = 0.189941, B[119] = 0.438965, C[119] = 0.628906
A[120] = 0.087402, B[120] = 0.478516, C[120] = 0.565918
A[121] = 0.282715, B[121] = 0.381836, C[121] = 0.664551
A[122] = 0.131348, B[122] = 0.401855, C[122] = 0.533203
A[123] = 0.691895, B[123] = 0.546875, C[123] = 1.238770
A[124] = 0.985352, B[124] = 0.880371, C[124] = 1.865723
A[125] = 0.682617, B[125] = 0.847168, C[125] = 1.529785
A[126] = 0.632812, B[126] = 0.077148, C[126] = 0.709961
A[127] = 0.297852, B[127] = 0.590820, C[127] = 0.888672
A[128] = 0.617676, B[128] = 0.055176, C[128] = 0.672852
A[129] = 0.279297, B[129] = 0.395020, C[129] = 0.674316
A[130] = 0.998535, B[130] = 0.402344, C[130] = 1.400879
A[131] = 0.223145, B[131] = 0.868164, C[131] = 1.091309
A[132] = 0.401367, B[132] = 0.546387, C[132] = 0.947754
A[133] = 0.813477, B[133] = 0.617676, C[133] = 1.431152
A[134] = 0.847656, B[134] = 0.605469, C[134] = 1.453125
A[135] = 0.493652, B[135] = 0.008301, C[135] = 0.501953
A[136] = 0.678711, B[136] = 0.692871, C[136] = 1.371582
A[137] = 0.497070, B[137] = 0.715332, C[137] = 1.212402
A[138] = 0.255371, B[138] = 0.885742, C[138] = 1.141113
A[139] = 0.191406, B[139] = 0.978516, C[139] = 1.169922
A[140] = 0.662109, B[140] = 0.523926, C[140] = 1.186035
A[141] = 0.468750, B[141] = 0.100586, C[141] = 0.569336
A[142] = 0.973145, B[142] = 0.693848, C[142] = 1.666992
A[143] = 0.602539, B[143] = 0.511230, C[143] = 1.113770
A[144] = 0.841309, B[144] = 0.759277, C[144] = 1.600586
A[145] = 0.458008, B[145] = 0.374023, C[145] = 0.832031
A[146] = 0.930176, B[146] = 0.110352, C[146] = 1.040527
A[147] = 0.748535, B[147] = 0.208008, C[147] = 0.956543
A[148] = 0.459473, B[148] = 0.634766, C[148] = 1.094238
A[149] = 0.732910, B[149] = 0.389160, C[149] = 1.122070
A[150] = 0.307129, B[150] = 0.041992, C[150] = 0.349121
A[151] = 0.161621, B[151] = 0.136230, C[151] = 0.297852
A[152] = 0.640137, B[152] = 0.382324, C[152] = 1.022461
A[153] = 0.403320, B[153] = 0.869629, C[153] = 1.272949
A[154] = 0.541504, B[154] = 0.979004, C[154] = 1.520508
A[155] = 0.095703, B[155] = 0.736816, C[155] = 0.832520
A[156] = 0.369141, B[156] = 0.016113, C[156] = 0.385254
A[157] = 0.835449, B[157] = 0.235352, C[157] = 1.070801
A[158] = 0.794922, B[158] = 0.802246, C[158] = 1.597168
A[159] = 0.440918, B[159] = 0.361816, C[159] = 0.802734
A[160] = 0.739746, B[160] = 0.865234, C[160] = 1.604980
A[161] = 0.767090, B[161] = 0.902344, C[161] = 1.669434
A[162] = 0.772461, B[162] = 0.414551, C[162] = 1.187012
A[163] = 0.780762, B[163] = 0.013672, C[163] = 0.794434
A[164] = 0.492188, B[164] = 0.215332, C[164] = 0.707520
A[165] = 0.453613, B[165] = 0.425781, C[165] = 0.879395
A[166] = 0.024414, B[166] = 0.053711, C[166] = 0.078125
A[167] = 0.554199, B[167] = 0.625488, C[167] = 1.179688
A[168] = 0.322266, B[168] = 0.381348, C[168] = 0.703613
A[169] = 0.840332, B[169] = 0.513184, C[169] = 1.353516
A[170] = 0.317383, B[170] = 0.572266, C[170] = 0.889648
A[171] = 0.249023, B[171] = 0.659668, C[171] = 0.908691
A[172] = 0.375977, B[172] = 0.247070, C[172] = 0.623047
A[173] = 0.369629, B[173] = 0.756836, C[173] = 1.126465
A[174] = 0.059570, B[174] = 0.104492, C[174] = 0.164062
A[175] = 0.821777, B[175] = 0.100098, C[175] = 0.921875
A[176] = 0.007812, B[176] = 0.973633, C[176] = 0.981445
A[177] = 0.531738, B[177] = 0.028320, C[177] = 0.560059
A[178] = 0.093262, B[178] = 0.748047, C[178] = 0.841309
A[179] = 0.515137, B[179] = 0.035645, C[179] = 0.550781
A[180] = 0.189941, B[180] = 0.641113, C[180] = 0.831055
A[181] = 0.815918, B[181] = 0.595215, C[181] = 1.411133
A[182] = 0.935059, B[182] = 0.794434, C[182] = 1.729492
A[183] = 0.133789, B[183] = 0.188965, C[183] = 0.322754
A[184] = 0.605469, B[184] = 0.961426, C[184] = 1.566895
A[185] = 0.106934, B[185] = 0.847656, C[185] = 0.954590
A[186] = 0.366699, B[186] = 0.081543, C[186] = 0.448242
A[187] = 0.995605, B[187] = 0.625977, C[187] = 1.621582
A[188] = 0.995117, B[188] = 0.999023, C[188] = 1.994141
A[189] = 0.333984, B[189] = 0.263184, C[189] = 0.597168
A[190] = 0.553223, B[190] = 0.924316, C[190] = 1.477539
A[191] = 0.101074, B[191] = 0.060059, C[191] = 0.161133
A[192] = 0.090332, B[192] = 0.527344, C[192] = 0.617676
A[193] = 0.986816, B[193] = 0.479980, C[193] = 1.466797
A[194] = 0.235352, B[194] = 0.050781, C[194] = 0.286133
A[195] = 0.185059, B[195] = 0.229004, C[195] = 0.414062
A[196] = 0.699219, B[196] = 0.506348, C[196] = 1.205566
A[197] = 0.896484, B[197] = 0.417480, C[197] = 1.313965
A[198] = 0.968262, B[198] = 0.588379, C[198] = 1.556641
A[199] = 0.035645, B[199] = 0.092285, C[199] = 0.127930
A[200] = 0.510254, B[200] = 0.635254, C[200] = 1.145508
A[201] = 0.127930, B[201] = 0.149414, C[201] = 0.277344
A[202] = 0.751953, B[202] = 0.448242, C[202] = 1.200195
A[203] = 0.208496, B[203] = 0.700195, C[203] = 0.908691
A[204] = 0.060059, B[204] = 0.137207, C[204] = 0.197266
A[205] = 0.580566, B[205] = 0.231934, C[205] = 0.812500
A[206] = 0.763184, B[206] = 0.448730, C[206] = 1.211914
A[207] = 0.044922, B[207] = 0.365234, C[207] = 0.410156
A[208] = 0.984863, B[208] = 0.220703, C[208] = 1.205566
A[209] = 0.583984, B[209] = 0.875000, C[209] = 1.458984
A[210] = 0.065430, B[210] = 0.510742, C[210] = 0.576172
A[211] = 0.010742, B[211] = 0.133301, C[211] = 0.144043
A[212] = 0.014160, B[212] = 0.043457, C[212] = 0.057617
A[213] = 0.890625, B[213] = 0.821289, C[213] = 1.711914
A[214] = 0.743652, B[214] = 0.963379, C[214] = 1.707031
A[215] = 0.875488, B[215] = 0.245605, C[215] = 1.121094
A[216] = 0.840820, B[216] = 0.099121, C[216] = 0.939941
A[217] = 0.408691, B[217] = 0.114746, C[217] = 0.523438
A[218] = 0.845703, B[218] = 0.173340, C[218] = 1.019043
A[219] = 0.133789, B[219] = 0.778809, C[219] = 0.912598
A[220] = 0.766602, B[220] = 0.783691, C[220] = 1.550293
A[221] = 0.590820, B[221] = 0.021484, C[221] = 0.612305
A[222] = 0.146973, B[222] = 0.989258, C[222] = 1.136230
A[223] = 0.095215, B[223] = 0.509766, C[223] = 0.604980
A[224] = 0.538086, B[224] = 0.687012, C[224] = 1.225098
A[225] = 0.855469, B[225] = 0.245117, C[225] = 1.100586
A[226] = 0.629395, B[226] = 0.519043, C[226] = 1.148438
A[227] = 0.597656, B[227] = 0.465820, C[227] = 1.063477
A[228] = 0.874023, B[228] = 0.892090, C[228] = 1.766113
A[229] = 0.809570, B[229] = 0.435059, C[229] = 1.244629
A[230] = 0.482422, B[230] = 0.866211, C[230] = 1.348633
A[231] = 0.467773, B[231] = 0.968750, C[231] = 1.436523
A[232] = 0.525879, B[232] = 0.095703, C[232] = 0.621582
A[233] = 0.228516, B[233] = 0.606445, C[233] = 0.834961
A[234] = 0.407715, B[234] = 0.474609, C[234] = 0.882324
A[235] = 0.071777, B[235] = 0.319824, C[235] = 0.391602
A[236] = 0.726074, B[236] = 0.361816, C[236] = 1.087891
A[237] = 0.478027, B[237] = 0.620117, C[237] = 1.098145
A[238] = 0.040039, B[238] = 0.518555, C[238] = 0.558594
A[239] = 0.226074, B[239] = 0.677246, C[239] = 0.903320
A[240] = 0.385742, B[240] = 0.966309, C[240] = 1.352051
A[241] = 0.803711, B[241] = 0.941895, C[241] = 1.745605
A[242] = 0.287598, B[242] = 0.343750, C[242] = 0.631348
A[243] = 0.519043, B[243] = 0.429199, C[243] = 0.948242
A[244] = 0.658691, B[244] = 0.714844, C[244] = 1.373535
A[245] = 0.831543, B[245] = 0.392578, C[245] = 1.224121
A[246] = 0.527344, B[246] = 0.235352, C[246] = 0.762695
A[247] = 0.785156, B[247] = 0.913086, C[247] = 1.698242
A[248] = 0.044434, B[248] = 0.871094, C[248] = 0.915527
A[249] = 0.983398, B[249] = 0.538574, C[249] = 1.521973
A[250] = 0.792480, B[250] = 0.469727, C[250] = 1.262207
A[251] = 0.788574, B[251] = 0.287598, C[251] = 1.076172
A[252] = 0.421387, B[252] = 0.586914, C[252] = 1.008301
A[253] = 0.876953, B[253] = 0.324707, C[253] = 1.201660
A[254] = 0.473633, B[254] = 0.635742, C[254] = 1.109375
A[255] = 0.334961, B[255] = 0.649902, C[255] = 0.984863
A[256] = 0.810547, B[256] = 0.870117, C[256] = 1.680664
A[257] = 0.637207, B[257] = 0.888184, C[257] = 1.525391
A[258] = 0.641602, B[258] = 0.450195, C[258] = 1.091797
A[259] = 0.268066, B[259] = 0.017578, C[259] = 0.285645
A[260] = 0.382324, B[260] = 0.926270, C[260] = 1.308594
A[261] = 0.182617, B[261] = 0.640137, C[261] = 0.822754
A[262] = 0.766602, B[262] = 0.444824, C[262] = 1.211426
A[263] = 0.705078, B[263] = 0.256836, C[263] = 0.961914
A[264] = 0.769531, B[264] = 0.847168, C[264] = 1.616699
A[265] = 0.091797, B[265] = 0.164551, C[265] = 0.256348
A[266] = 0.911621, B[266] = 0.171875, C[266] = 1.083496
A[267] = 0.960938, B[267] = 0.828125, C[267] = 1.789062
A[268] = 0.337402, B[268] = 0.786621, C[268] = 1.124023
A[269] = 0.042969, B[269] = 0.970215, C[269] = 1.013184
A[270] = 0.338379, B[270] = 0.780762, C[270] = 1.119141
A[271] = 0.567383, B[271] = 0.558594, C[271] = 1.125977
A[272] = 0.207031, B[272] = 0.085449, C[272] = 0.292480
A[273] = 0.047852, B[273] = 0.354492, C[273] = 0.402344
A[274] = 0.525391, B[274] = 0.592773, C[274] = 1.118164
A[275] = 0.103516, B[275] = 0.711914, C[275] = 0.815430
A[276] = 0.593750, B[276] = 0.231445, C[276] = 0.825195
A[277] = 0.569824, B[277] = 0.771484, C[277] = 1.341309
A[278] = 0.531250, B[278] = 0.121582, C[278] = 0.652832
A[279] = 0.446289, B[279] = 0.309082, C[279] = 0.755371
A[280] = 0.627930, B[280] = 0.734375, C[280] = 1.362305
A[281] = 0.872559, B[281] = 0.871094, C[281] = 1.743652
A[282] = 0.777344, B[282] = 0.771973, C[282] = 1.549316
A[283] = 0.918457, B[283] = 0.219238, C[283] = 1.137695
A[284] = 0.074707, B[284] = 0.937988, C[284] = 1.012695
A[285] = 0.521973, B[285] = 0.506348, C[285] = 1.028320
A[286] = 0.542969, B[286] = 0.704590, C[286] = 1.247559
A[287] = 0.059570, B[287] = 0.075684, C[287] = 0.135254
A[288] = 0.996582, B[288] = 0.388184, C[288] = 1.384766
A[289] = 0.416016, B[289] = 0.027832, C[289] = 0.443848
A[290] = 0.587402, B[290] = 0.198242, C[290] = 0.785645
A[291] = 0.476074, B[291] = 0.842773, C[291] = 1.318848
A[292] = 0.808594, B[292] = 0.074707, C[292] = 0.883301
A[293] = 0.493652, B[293] = 0.829102, C[293] = 1.322754
A[294] = 0.219727, B[294] = 0.775391, C[294] = 0.995117
A[295] = 0.925781, B[295] = 0.427246, C[295] = 1.353027
A[296] = 0.020020, B[296] = 0.628418, C[296] = 0.648438
A[297] = 0.774414, B[297] = 0.202637, C[297] = 0.977051
A[298] = 0.443359, B[298] = 0.672363, C[298] = 1.115723
A[299] = 0.475098, B[299] = 0.860840, C[299] = 1.335938
A[300] = 0.410645, B[300] = 0.934082, C[300] = 1.344727
A[301] = 0.796387, B[301] = 0.388184, C[301] = 1.184570
A[302] = 0.294922, B[302] = 0.511230, C[302] = 0.806152
A[303] = 0.674316, B[303] = 0.905273, C[303] = 1.579590
A[304] = 0.429688, B[304] = 0.324219, C[304] = 0.753906
A[305] = 0.089355, B[305] = 0.713867, C[305] = 0.803223
A[306] = 0.158203, B[306] = 0.698242, C[306] = 0.856445
A[307] = 0.648438, B[307] = 0.167480, C[307] = 0.815918
A[308] = 0.376465, B[308] = 0.955078, C[308] = 1.331543
A[309] = 0.576172, B[309] = 0.899902, C[309] = 1.476074
A[310] = 0.021973, B[310] = 0.687988, C[310] = 0.709961
A[311] = 0.598145, B[311] = 0.886230, C[311] = 1.484375
A[312] = 0.480957, B[312] = 0.757324, C[312] = 1.238281
A[313] = 0.112305, B[313] = 0.458496, C[313] = 0.570801
A[314] = 0.836426, B[314] = 0.456543, C[314] = 1.292969
A[315] = 0.488281, B[315] = 0.051270, C[315] = 0.539551
A[316] = 0.000977, B[316] = 0.573730, C[316] = 0.574707
A[317] = 0.182129, B[317] = 0.494141, C[317] = 0.676270
A[318] = 0.145020, B[318] = 0.691895, C[318] = 0.836914
A[319] = 0.845215, B[319] = 0.470703, C[319] = 1.315918
A[320] = 0.637695, B[320] = 0.484863, C[320] = 1.122559
A[321] = 0.693848, B[321] = 0.612793, C[321] = 1.306641
A[322] = 0.693848, B[322] = 0.868652, C[322] = 1.562500
A[323] = 0.417480, B[323] = 0.969238, C[323] = 1.386719
A[324] = 0.974121, B[324] = 0.576172, C[324] = 1.550293
A[325] = 0.806152, B[325] = 0.917480, C[325] = 1.723633
A[326] = 0.860840, B[326] = 0.155762, C[326] = 1.016602
A[327] = 0.000977, B[327] = 0.365723, C[327] = 0.366699
A[328] = 0.137207, B[328] = 0.493652, C[328] = 0.630859
A[329] = 0.392090, B[329] = 0.398926, C[329] = 0.791016
A[330] = 0.830566, B[330] = 0.302246, C[330] = 1.132812
A[331] = 0.852539, B[331] = 0.937500, C[331] = 1.790039
A[332] = 0.846680, B[332] = 0.723633, C[332] = 1.570312
A[333] = 0.020996, B[333] = 0.350586, C[333] = 0.371582
A[334] = 0.323730, B[334] = 0.433594, C[334] = 0.757324
A[335] = 0.521973, B[335] = 0.611816, C[335] = 1.133789
A[336] = 0.029297, B[336] = 0.273926, C[336] = 0.303223
A[337] = 0.447754, B[337] = 0.310059, C[337] = 0.757812
A[338] = 0.844238, B[338] = 0.383301, C[338] = 1.227539
A[339] = 0.520996, B[339] = 0.026367, C[339] = 0.547363
A[340] = 0.947754, B[340] = 0.861328, C[340] = 1.809082
A[341] = 0.274902, B[341] = 0.582031, C[341] = 0.856934
A[342] = 0.818359, B[342] = 0.351074, C[342] = 1.169434
A[343] = 0.191406, B[343] = 0.389648, C[343] = 0.581055
A[344] = 0.968750, B[344] = 0.998535, C[344] = 1.967285
A[345] = 0.422363, B[345] = 0.776367, C[345] = 1.198730
A[346] = 0.069824, B[346] = 0.834473, C[346] = 0.904297
A[347] = 0.090820, B[347] = 0.620605, C[347] = 0.711426
A[348] = 0.161133, B[348] = 0.029785, C[348] = 0.190918
A[349] = 0.613281, B[349] = 0.236328, C[349] = 0.849609
A[350] = 0.591309, B[350] = 0.785156, C[350] = 1.376465
A[351] = 0.666504, B[351] = 0.054199, C[351] = 0.720703
A[352] = 0.180176, B[352] = 0.991699, C[352] = 1.171875
A[353] = 0.146973, B[353] = 0.358887, C[353] = 0.505859
A[354] = 0.402832, B[354] = 0.349609, C[354] = 0.752441
A[355] = 0.823730, B[355] = 0.531250, C[355] = 1.354980
A[356] = 0.337402, B[356] = 0.862305, C[356] = 1.199707
A[357] = 0.622559, B[357] = 0.669434, C[357] = 1.291992
A[358] = 0.314453, B[358] = 0.742676, C[358] = 1.057129
A[359] = 0.988770, B[359] = 0.511230, C[359] = 1.500000
A[360] = 0.949219, B[360] = 0.755371, C[360] = 1.704590
A[361] = 0.869629, B[361] = 0.084473, C[361] = 0.954102
A[362] = 0.513184, B[362] = 0.481934, C[362] = 0.995117
A[363] = 0.040039, B[363] = 0.292969, C[363] = 0.333008
A[364] = 0.189941, B[364] = 0.570312, C[364] = 0.760254
A[365] = 0.254395, B[365] = 0.985840, C[365] = 1.240234
A[366] = 0.857910, B[366] = 0.690918, C[366] = 1.548828
A[367] = 0.536621, B[367] = 0.295410, C[367] = 0.832031
A[368] = 0.218750, B[368] = 0.611816, C[368] = 0.830566
A[369] = 0.462402, B[369] = 0.020020, C[369] = 0.482422
A[370] = 0.077637, B[370] = 0.698242, C[370] = 0.775879
A[371] = 0.218262, B[371] = 0.882324, C[371] = 1.100586
A[372] = 0.997559, B[372] = 0.169922, C[372] = 1.167480
A[373] = 0.872559, B[373] = 0.516113, C[373] = 1.388672
A[374] = 0.268555, B[374] = 0.677246, C[374] = 0.945801
A[375] = 0.196777, B[375] = 0.954102, C[375] = 1.150879
A[376] = 0.141602, B[376] = 0.507324, C[376] = 0.648926
A[377] = 0.533203, B[377] = 0.188965, C[377] = 0.722168
A[378] = 0.195312, B[378] = 0.559570, C[378] = 0.754883
A[379] = 0.285645, B[379] = 0.314941, C[379] = 0.600586
A[380] = 0.430664, B[380] = 0.176758, C[380] = 0.607422
A[381] = 0.522949, B[381] = 0.369141, C[381] = 0.892090
A[382] = 0.156250, B[382] = 0.101074, C[382] = 0.257324
A[383] = 0.233398, B[383] = 0.083984, C[383] = 0.317383
A[384] = 0.308594, B[384] = 0.563965, C[384] = 0.872559
A[385] = 0.858398, B[385] = 0.558105, C[385] = 1.416504
A[386] = 0.688965, B[386] = 0.009766, C[386] = 0.698730
A[387] = 0.237793, B[387] = 0.731445, C[387] = 0.969238
A[388] = 0.226074, B[388] = 0.470703, C[388] = 0.696777
A[389] = 0.911621, B[389] = 0.867676, C[389] = 1.779297
A[390] = 0.369629, B[390] = 0.954590, C[390] = 1.324219
A[391] = 0.968750, B[391] = 0.070801, C[391] = 1.039551
A[392] = 0.947266, B[392] = 0.173828, C[392] = 1.121094
A[393] = 0.817383, B[393] = 0.669922, C[393] = 1.487305
A[394] = 0.454102, B[394] = 0.140625, C[394] = 0.594727
A[395] = 0.770996, B[395] = 0.002441, C[395] = 0.773438
A[396] = 0.902832, B[396] = 0.188477, C[396] = 1.091309
A[397] = 0.432129, B[397] = 0.739258, C[397] = 1.171387
A[398] = 0.275879, B[398] = 0.436523, C[398] = 0.712402
A[399] = 0.317871, B[399] = 0.328613, C[399] = 0.646484
A[400] = 0.170410, B[400] = 0.280273, C[400] = 0.450684
A[401] = 0.821777, B[401] = 0.706543, C[401] = 1.528320
A[402] = 0.660156, B[402] = 0.447266, C[402] = 1.107422
A[403] = 0.095703, B[403] = 0.744141, C[403] = 0.839844
A[404] = 0.188477, B[404] = 0.225098, C[404] = 0.413574
A[405] = 0.709961, B[405] = 0.270996, C[405] = 0.980957
A[406] = 0.111328, B[406] = 0.266113, C[406] = 0.377441
A[407] = 0.083984, B[407] = 0.312988, C[407] = 0.396973
A[408] = 0.736328, B[408] = 0.103027, C[408] = 0.839355
A[409] = 0.499512, B[409] = 0.374023, C[409] = 0.873535
A[410] = 0.685547, B[410] = 0.904785, C[410] = 1.590332
A[411] = 0.214844, B[411] = 0.389648, C[411] = 0.604492
A[412] = 0.288086, B[412] = 0.777344, C[412] = 1.065430
A[413] = 0.109375, B[413] = 0.252930, C[413] = 0.362305
A[414] = 0.739258, B[414] = 0.078613, C[414] = 0.817871
A[415] = 0.389648, B[415] = 0.193359, C[415] = 0.583008
A[416] = 0.749023, B[416] = 0.988281, C[416] = 1.737305
A[417] = 0.351074, B[417] = 0.889160, C[417] = 1.240234
A[418] = 0.399414, B[418] = 0.693848, C[418] = 1.093262
A[419] = 0.722168, B[419] = 0.312500, C[419] = 1.034668
